service_id,vehicle_id,service_type,mileage_at_service,service_date,cost_inr,technician_notes
SRV-5059,VH-1028,"EV Battery & Brake Inspection",145613,2025-10-26,7500,"Routine preventative maintenance completed successfully"
SRV-5060,VH-1029,"Full Synthetic Oil Change & Multi-Point Inspection",53454,2026-06-12,5400,"Routine preventative maintenance completed successfully"
SRV-5061,VH-1030,"Full Synthetic Oil Change & Multi-Point Inspection",166632,2026-07-01,5400,"Routine preventative maintenance completed successfully"
SRV-5062,VH-1031,"Full Synthetic Oil Change & Multi-Point Inspection",45387,2026-06-06,5400,"Routine preventative maintenance completed successfully"
SRV-5063,VH-1032,"EV Battery & Brake Inspection",60712,2026-03-13,7500,"Routine preventative maintenance completed successfully"
SRV-5064,VH-1032,"EV Battery & Brake Inspection",57395,2026-03-19,7500,"Routine preventative maintenance completed successfully"
SRV-5065,VH-1032,"EV Battery & Brake Inspection",58390,2026-06-30,7500,"Routine preventative maintenance completed successfully"
SRV-5066,VH-1033,"Full Synthetic Oil Change & Multi-Point Inspection",110335,2025-11-07,5400,"Routine preventative maintenance completed successfully"
SRV-5067,VH-1033,"Full Synthetic Oil Change & Multi-Point Inspection",111617,2025-08-29,5400,"Routine preventative maintenance completed successfully"
SRV-5068,VH-1033,"Full Synthetic Oil Change & Multi-Point Inspection",110894,2025-11-02,5400,"Routine preventative maintenance completed successfully"
SRV-5069,VH-1034,"Full Synthetic Oil Change & Multi-Point Inspection",124945,2026-04-11,5400,"Routine preventative maintenance completed successfully"
SRV-5070,VH-1035,"Full Synthetic Oil Change & Multi-Point Inspection",134141,2025-11-04,5400,"Routine preventative maintenance completed successfully"
SRV-5071,VH-1035,"Full Synthetic Oil Change & Multi-Point Inspection",130125,2026-03-10,5400,"Routine preventative maintenance completed successfully"
SRV-5072,VH-1036,"EV Battery & Brake Inspection",76321,2025-11-05,7500,"Routine preventative maintenance completed successfully"
SRV-5073,VH-1037,"Full Synthetic Oil Change & Multi-Point Inspection",109374,2026-08-20,5400,"Routine preventative maintenance completed successfully"
SRV-5074,VH-1037,"Full Synthetic Oil Change & Multi-Point Inspection",99872,2025-09-11,5400,"Routine preventative maintenance completed successfully"
SRV-5075,VH-1037,"Full Synthetic Oil Change & Multi-Point Inspection",109547,2025-10-04,5400,"Routine preventative maintenance completed successfully"
SRV-5076,VH-1038,"Full Synthetic Oil Change & Multi-Point Inspection",127302,2026-06-09,5400,"Routine preventative maintenance completed successfully"
SRV-5077,VH-1038,"Full Synthetic Oil Change & Multi-Point Inspection",127577,2026-06-09,5400,"Routine preventative maintenance completed successfully"
SRV-5078,VH-1039,"EV Battery & Brake Inspection",114845,2026-05-26,7500,"Routine preventative maintenance completed successfully"
SRV-5079,VH-1039,"EV Battery & Brake Inspection",104380,2026-04-29,7500,"Routine preventative maintenance completed successfully"
SRV-5080,VH-1040,"EV Battery & Brake Inspection",108577,2026-08-22,7500,"Routine preventative maintenance completed successfully"
SRV-5081,VH-1040,"EV Battery & Brake Inspection",108017,2026-01-29,7500,"Routine preventative maintenance completed successfully"
SRV-5082,VH-1041,"Full Synthetic Oil Change & Multi-Point Inspection",177227,2025-11-17,5400,"Routine preventative maintenance completed successfully"
SRV-5083,VH-1041,"Full Synthetic Oil Change & Multi-Point Inspection",176618,2026-08-15,5400,"Routine preventative maintenance completed successfully"
SRV-5084,VH-1042,"Full Synthetic Oil Change & Multi-Point Inspection",10132,2026-05-16,5400,"Routine preventative maintenance completed successfully"
SRV-5085,VH-1043,"Full Synthetic Oil Change & Multi-Point Inspection",93801,2025-11-06,5400,"Routine preventative maintenance completed successfully"
SRV-5086,VH-1043,"Full Synthetic Oil Change & Multi-Point Inspection",94658,2026-05-26,5400,"Routine preventative maintenance completed successfully"
SRV-5087,VH-1044,"EV Battery & Brake Inspection",37742,2025-12-23,7500,"Routine preventative maintenance completed successfully"
SRV-5088,VH-1044,"EV Battery & Brake Inspection",39241,2025-09-26,7500,"Routine preventative maintenance completed successfully"
SRV-5089,VH-1045,"Full Synthetic Oil Change & Multi-Point Inspection",161903,2026-01-05,5400,"Routine preventative maintenance completed successfully"
SRV-5090,VH-1045,"Full Synthetic Oil Change & Multi-Point Inspection",163844,2025-09-19,5400,"Routine preventative maintenance completed successfully"
SRV-5091,VH-1046,"Full Synthetic Oil Change & Multi-Point Inspection",100000,2025-09-07,5400,"Routine preventative maintenance completed successfully"
SRV-5092,VH-1046,"Full Synthetic Oil Change & Multi-Point Inspection",98230,2026-06-30,5400,"Routine preventative maintenance completed successfully"
SRV-5093,VH-1047,"Full Synthetic Oil Change & Multi-Point Inspection",124164,2025-11-10,5400,"Routine preventative maintenance completed successfully"
SRV-5094,VH-1047,"Full Synthetic Oil Change & Multi-Point Inspection",115802,2026-07-29,5400,"Routine preventative maintenance completed successfully"
SRV-5095,VH-1048,"EV Battery & Brake Inspection",7550,2026-08-05,7500,"Routine preventative maintenance completed successfully"
SRV-5096,VH-1048,"EV Battery & Brake Inspection",8055,2025-12-16,7500,"Routine preventative maintenance completed successfully"
SRV-5097,VH-1049,"Full Synthetic Oil Change & Multi-Point Inspection",22083,2025-08-25,5400,"Routine preventative maintenance completed successfully"
SRV-5098,VH-1050,"Full Synthetic Oil Change & Multi-Point Inspection",102491,2025-11-06,5400,"Routine preventative maintenance completed successfully"
SRV-5099,VH-1050,"Full Synthetic Oil Change & Multi-Point Inspection",113626,2026-01-02,5400,"Routine preventative maintenance completed successfully"
SRV-5100,VH-1051,"EV Battery & Brake Inspection",106606,2025-10-22,7500,"Routine preventative maintenance completed successfully"
SRV-5101,VH-1051,"EV Battery & Brake Inspection",116979,2025-09-28,7500,"Routine preventative maintenance completed successfully"
SRV-5102,VH-1052,"EV Battery & Brake Inspection",131253,2025-10-30,7500,"Routine preventative maintenance completed successfully"
SRV-5103,VH-1052,"EV Battery & Brake Inspection",126439,2026-04-06,7500,"Routine preventative maintenance completed successfully"
SRV-5104,VH-1052,"EV Battery & Brake Inspection",123448,2026-02-19,7500,"Routine preventative maintenance completed successfully"
SRV-5105,VH-1053,"Full Synthetic Oil Change & Multi-Point Inspection",68088,2026-07-14,5400,"Routine preventative maintenance completed successfully"
SRV-5106,VH-1054,"Full Synthetic Oil Change & Multi-Point Inspection",141938,2026-07-06,5400,"Routine preventative maintenance completed successfully"
SRV-5107,VH-1054,"Full Synthetic Oil Change & Multi-Point Inspection",148933,2026-08-17,5400,"Routine preventative maintenance completed successfully"
SRV-5108,VH-1054,"Full Synthetic Oil Change & Multi-Point Inspection",146861,2025-08-27,5400,"Routine preventative maintenance completed successfully"
SRV-5109,VH-1055,"Full Synthetic Oil Change & Multi-Point Inspection",39781,2026-08-10,5400,"Routine preventative maintenance completed successfully"
SRV-5110,VH-1055,"Full Synthetic Oil Change & Multi-Point Inspection",29524,2025-09-07,5400,"Routine preventative maintenance completed successfully"
SRV-5111,VH-1055,"Full Synthetic Oil Change & Multi-Point Inspection",31078,2026-06-16,5400,"Routine preventative maintenance completed successfully"
SRV-5112,VH-1056,"EV Battery & Brake Inspection",55237,2026-07-21,7500,"Routine preventative maintenance completed successfully"
SRV-5113,VH-1056,"EV Battery & Brake Inspection",55723,2026-03-31,7500,"Routine preventative maintenance completed successfully"
SRV-5114,VH-1057,"Full Synthetic Oil Change & Multi-Point Inspection",111008,2026-01-14,5400,"Routine preventative maintenance completed successfully"
SRV-5115,VH-1057,"Full Synthetic Oil Change & Multi-Point Inspection",114010,2026-02-03,5400,"Routine preventative maintenance completed successfully"
SRV-5116,VH-1057,"Full Synthetic Oil Change & Multi-Point Inspection",110476,2025-10-02,5400,"Routine preventative maintenance completed successfully"
SRV-5117,VH-1058,"Full Synthetic Oil Change & Multi-Point Inspection",158764,2025-10-06,5400,"Routine preventative maintenance completed successfully"
SRV-5118,VH-1059,"Full Synthetic Oil Change & Multi-Point Inspection",72550,2025-11-15,5400,"Routine preventative maintenance completed successfully"
SRV-5119,VH-1059,"Full Synthetic Oil Change & Multi-Point Inspection",76586,2025-08-24,5400,"Routine preventative maintenance completed successfully"
SRV-5120,VH-1059,"Full Synthetic Oil Change & Multi-Point Inspection",77198,2026-01-11,5400,"Routine preventative maintenance completed successfully"
SRV-5121,VH-1060,"EV Battery & Brake Inspection",24941,2026-05-07,7500,"Routine preventative maintenance completed successfully"
